reviewId,matched_app_name,category,app_avg_rating,user_rating,sentiment,likes,installs_cleaned,type,price,content_rating,genres,last_updated
gp:AOqpTOFwyPCBjmxkUhts8TZyq0WGHEcsVOnHyTOrGzu-n_Pr2PlJMNmuBnpj3h3Z-mNbtzC3yKl3eE0k-joCRQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHYQtBG53c5WPEikD2KOWaiUUO5FsbKJX81DDBw_km1eMxcFQTUrsC5eFCKtulvEzcrOLgZUvmo-xQa2Q,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGFSxMFuAPaSYuHYCba9zwdS6gHEH62j13oWI3BK51CeTQ5Xd0AYXjatBIE2hZOXIwb66--zpBGTqhkzQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGoYw2vNAAMnhISaPu1qFqSs2Vc-xue9LD__5wmSaS0CRxxCN6sHZ7xVbOkkDHr8f003WAK9IvLah1Rtw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGKDUgENjBBOeJNb1ps8vvgjSfjdMsfP0mLZ_psF_nmsZNnKaUW-x8kzii9xyVXQc2NExyinTEh18A8Lw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEPT2noma6b6an25iLsLy8bdpWziRqfCU4m6VUWbDSChQeTWTQgUT_opUb9aC7AI5F09AqHXORsf8GECA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFAAILc9XJEs_7LsyOgZnH7i6psUNsNFzFRyf8WpGjJE057_ZJLidH2F52x0DC9e1QIt_ih_0vjj041cQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHjvvsDTVpP7Ce14fpq07DFEoJSOb6xz8L1dsp8zS0STtB8bZx-OckKlMbN1H9W2QfAh5BYdhk0N6RseA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHjTtjRcwB0_j46hRfykKJdRd5d6UMyIpovD5CHH8RUnkrbq1VtZVMugt7sISIDJm_hCuJfRi68n3zgKg,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHyePKGfRW587j55LTT45CNsz6JEjS3hsXW7TS7f_MuXDWq-iD4aZmg9MO9xKZTDD1NSwAOGjGaQltruA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGQruKNyjeHJ_bmNRuNqwaPw0bol2ArG-am28HbyYyw8PO8BnzBLV-VPIT6mi_f0AW_1P6ZiLqRpOtxug,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFpJ8mqAhDWyJ1-y68R8mq8q13-JpUVOUAP4MlYdnOxfUe3qD9Z8vdqxEOblV7op-wBCx_ejWXk53gQjw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOE8NDoJ0hoUfZ5Gd3L_HlYwqjsYVFCgLfva0Oc7CiL7tH9vjXohF_eqn1ejzJ0OBWuDHxoHg09pc1GgMw,Gmail,COMMUNICATION,4.3,5,Neutral,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEoq8qnYfgYv2FkLKi4DBHWoQ-QJuhuSwfC90Ns6RINeJzhhSk4qSd34vrZVm0OMYBYuORVB__iMjIBFw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGMzfIbp6WXJUkMYbo9o2HSlfc-x8eRoyOiUXz8zovicNzyDb71t2HJWNU66WZinrMpc26-BUW46_jRvA,Gmail,COMMUNICATION,4.3,5,Positive,1.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGgz9QKJiqmlAIjH1Wtjw3ow3yqBPZ9ZTg6Jldif-woGxvZM_dDT1Tm9Z7LTvSU43Dtij1-WY7ISN86pQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEKd5R4uPZJoowvSkw4JprYxx1YgZYnIWKsqGoec_-SV92OWrnGYtoLBEgh__0Oyp1QBT-ybJ4URzWulA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFvLZbHUQgMTDwC5ju5WbEZZeKEJHiPEEpUO4jbG6Pw_C_Pj6g4VziT_zm2lXz9i6zmwRRahrMHF_unEQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOH7lE6JspqONcyueqzhjGt2nHcyYmL3DNc2nclCspdb7ZQPnGuDXo7EuMhQWeWCgJT0GXJmKKyCcVD9Rg,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEqmSzmjFJExPKMHiG9JHgrWLE_n_FgOVYwbcxW0oVRfMKACdBTaKc6ewgnYx9bg7mpvBLRO5gh6m5cnw,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHGPH8wstRlOhoZ87kyhjMada1-Cw9RR2YaBF3ZwU8GEwVCnLJ_iX_ALSH7SimH4A2wNqS98VMm3tPtfA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOELOe4U8Cl-aU-asRp-SbgKJq--DM2Gm0A0uOCRfiglbx3fOfXaCs3EqmV9dkiH8N7MGFHCIdlPjdvCrQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOE67p11Yx-IfvApmbjTJqD0MysLMxvA4Gtoqc7Cwtxo7MY73Rp-X-RrOnhGytl0Ho_1Q0xc9eNHcPRERQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGPhSOrmkDQbVH0vW-DnXzdijLcwqPPlxnAzpCyZNCjlCXadzTCYfpvzgp9AYzQXXzVnRdAeSMr1Q3t_A,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHBzWxzZF_OLSdimN6j5BOF_ONiA22zb_pZPoLbNyayKoZAvBhmHLdkEkkLxwRHc6iFtjSwzQ4Jl4YZ-Q,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOG6uUBcc0nUDgbGWcx1OgQczwE7tdpECNdpKw-Q-44chJgJDTVM5UUYprHkFq-25F9DFPmLKmiKi_8sFg,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHOSO6BaRggeaPXxFJYfJWs_qDIZee-d2dKriTRmFWL1irQU7oJnQsjpPWAlR9ew6KmXjNkMmmqSqLm4Q,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHVbCC1iyaEdBnDlzBqtUSOGqipdgFprcy09KxuuKwTcfdQVFrkFlsFrYQRkVzhETo1Su6mZa0MWYsp8g,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGBa8EpqiAUw_L05h9bRs5Bgg5bVlY7azPEp_sNCJVtX6IXRLWf3TAGrYvqlBq2ag6w4OEEf2wjCRXGZA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFXm59WbX9bCL4sJH8xjBMfEnkJYLoJ5L9sckfGpKbHCEVnwO1sX--PZomtgKi1I9WdIuU3kv5MHP-m8g,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
